id,millis,sensor
0,16,0
1,23,763
2,31,765
3,38,763
4,47,765
5,55,768
6,63,766
7,72,769
8,79,782
9,88,792
10,96,815
11,104,831
12,112,836
13,121,830
14,128,831
15,137,828
16,145,824
17,154,826
18,161,832
19,170,836
20,178,847
21,186,856
22,194,858
23,203,854
24,210,859
25,219,867
26,227,867
27,235,875
28,244,879
29,251,870
30,260,868
31,268,873
32,276,878
33,285,893
34,292,909
35,301,915
36,308,904
37,317,883
38,325,864
39,333,849
40,341,855
41,350,872
42,357,875
43,366,904
44,374,920
45,383,913
46,390,912
47,399,910
48,408,908
49,415,921
50,424,928
51,432,918
52,440,916
53,448,908
54,457,916
55,464,932
56,473,944
57,481,952
58,490,973
59,497,964
60,506,955
61,514,957
62,522,957
63,530,957
64,539,960
65,546,970
66,555,977
67,563,983
68,571,982
69,579,988
70,588,994
71,595,999
72,604,1000
73,612,997
74,620,993
75,628,990
76,637,988
77,644,991
78,653,995
79,661,1002
80,670,1013
81,677,1010
82,686,1013
83,693,1014
84,702,1004
85,710,1001
86,718,1004
87,727,1005
88,734,999
89,743,1003
90,751,1010
91,760,1016
92,767,1021
93,776,1023
94,783,1023
95,792,1023
96,800,1023
97,809,1023
98,817,1023
99,825,1023
100,834,1023
101,841,1023
102,850,1023
103,858,1023
104,866,1023
105,874,1023
106,883,1023
107,890,1023
108,899,1023
109,907,1023
110,915,1023
111,923,1023
112,932,1023
113,939,1023
114,948,1023
115,956,1023
116,964,1023
117,972,1021
118,981,1014
119,988,1014
120,997,1015
121,1005,1023
122,1013,1023
123,1022,1023
124,1030,1023
125,1038,1023
126,1046,1023
127,1055,1023
128,1062,1023
129,1071,1023
130,1079,1023
131,1088,1023
132,1095,1023
133,1104,1023
134,1112,1023
135,1120,1023
136,1128,1023
137,1137,1023
138,1144,1023
139,1153,1023
140,1160,1023
141,1169,1023
142,1177,1023
143,1186,1023
144,1193,1023
145,1202,1023
146,1209,1023
147,1218,1023
148,1226,1023
149,1235,1001
150,1242,993
151,1251,995
152,1259,1004
153,1267,1015
154,1276,1023
155,1284,1023
156,1292,1023
157,1300,1023
158,1309,1023
159,1316,999
160,1325,986
161,1333,987
162,1341,990
163,1349,1000
164,1358,1007
165,1365,1010
166,1374,1012
167,1382,1011
168,1390,1009
169,1398,1007
170,1407,994
171,1414,975
172,1423,969
173,1431,970
174,1439,975
175,1448,988
176,1456,984
177,1464,1012
178,1472,1006
179,1481,998
180,1488,1002
181,1497,983
182,1505,959
183,1513,945
184,1521,937
185,1530,936
186,1537,951
187,1546,959
188,1554,963
189,1562,979
190,1570,974
191,1579,972
192,1586,944
193,1595,921
194,1603,910
195,1612,910
196,1619,917
197,1628,918
198,1636,923
199,1644,924
200,1652,922
201,1661,920
202,1668,914
203,1677,910
204,1685,904
205,1693,897
206,1701,888
207,1710,881
208,1717,875
209,1727,873
210,1734,876
211,1742,876
212,1751,875
213,1759,876
214,1767,876
215,1775,879
216,1784,874
217,1791,860
218,1800,848
219,1808,838
220,1816,836
221,1824,841
222,1833,835
223,1840,862
224,1849,851
225,1857,836
226,1866,845
227,1873,842
228,1882,821
229,1890,813
230,1898,812
231,1906,809
232,1915,809
233,1922,809
234,1931,806
235,1939,804
236,1948,803
237,1955,803
238,1964,804
239,1972,807
240,1980,806
241,1988,794
242,1997,778
243,2005,763
244,2013,754
245,2021,753
246,2030,764
247,2037,773
248,2045,777
249,2054,774
250,2061,771
251,2070,761
252,2078,744
253,2087,731
254,2094,729
255,2103,733
256,2111,734
257,2119,729
258,2127,729
259,2136,733
260,2143,734
261,2152,734
262,2160,737
263,2169,735
264,2176,724
265,2185,719
266,2193,722
267,2201,730
268,2209,735
269,2218,733
270,2226,732
271,2234,737
272,2242,725
273,2251,712
274,2258,700
275,2267,698
276,2275,706
277,2283,714
278,2291,720
279,2300,719
280,2307,718
281,2316,724
282,2324,730
283,2332,724
284,2340,711
285,2349,696
286,2356,687
287,2365,682
288,2373,682
289,2381,690
290,2389,701
291,2398,710
292,2405,724
293,2414,727
294,2422,720
295,2431,709
296,2439,695
297,2447,688
298,2456,696
299,2463,700
300,2472,702
301,2479,707
302,2488,707
303,2496,703
304,2504,700
305,2512,702
306,2521,703
307,2528,698
308,2537,697
309,2545,691
310,2554,674
311,2561,664
312,2570,660
313,2578,660
314,2586,666
315,2594,670
316,2603,677
317,2610,688
318,2619,692
319,2627,687
320,2635,677
321,2644,677
322,2652,681
323,2660,688
324,2668,694
325,2677,692
326,2684,681
327,2693,674
328,2701,671
329,2709,675
330,2717,684
331,2726,696
332,2733,706
333,2742,708
334,2750,702
335,2758,693
336,2766,684
337,2775,674
338,2782,665
339,2791,655
340,2799,653
341,2807,648
342,2816,647
343,2824,651
344,2832,651
345,2840,655
346,2848,662
347,2857,667
348,2864,674
349,2873,688
350,2881,701
351,2889,714
352,2897,721
353,2906,721
354,2914,721
355,2922,726
356,2931,718
357,2938,708
358,2947,710
359,2955,720
360,2963,726
361,2971,744
362,2980,748
363,2987,736
364,2996,725
365,3003,713
366,3012,712
367,3021,728
368,3028,741
369,3037,753
370,3045,752
371,3054,743
372,3061,719
373,3070,703
374,3077,697
375,3086,699
376,3094,703
377,3102,713
378,3110,728
379,3119,738
380,3126,742
381,3135,746
382,3143,755
383,3151,763
384,3160,776
385,3168,791
386,3176,800
387,3184,796
388,3193,812
389,3200,807
390,3209,817
391,3217,832
392,3225,844
393,3233,843
394,3242,837
395,3250,846
396,3258,854
397,3267,859
398,3274,867
399,3283,869
400,3290,868
401,3299,872
402,3307,870
403,3315,864
404,3323,864
405,3332,870
406,3339,877
407,3348,887
408,3356,889
409,3364,885
410,3373,886
411,3381,888
412,3389,894
413,3397,904
414,3406,915
415,3413,916
416,3422,913
417,3430,917
418,3438,927
419,3446,935
420,3455,941
421,3462,953
422,3471,962
423,3479,966
424,3487,968
425,3496,968
426,3504,962
427,3512,955
428,3520,949
429,3529,947
430,3536,947
431,3545,945
432,3552,956
433,3561,975
434,3569,984
435,3577,989
436,3585,997
437,3594,991
438,3602,979
439,3610,966
440,3619,966
441,3626,973
442,3635,975
443,3643,982
444,3651,998
445,3659,1009
446,3668,1017
447,3675,1023
448,3684,1023
449,3692,1020
450,3700,1011
451,3708,1003
452,3717,1000
453,3724,987
454,3733,990
455,3742,995
456,3749,1005
457,3758,1021
458,3766,1023
459,3774,1023
460,3782,1023
461,3791,1023
462,3798,1023
463,3807,1023
464,3815,1023
465,3823,1018
466,3831,1016
467,3839,1021
468,3848,1023
469,3856,1023
470,3864,1023
471,3872,1023
472,3881,1023
473,3888,1023
474,3897,1023
475,3905,1023
476,3913,1023
477,3921,1023
478,3930,1023
479,3937,1023
480,3946,1023
481,3955,1023
482,3962,1023
483,3971,1023
484,3979,1023
485,3987,1023
486,3995,1023
487,4004,1023
488,4011,1023
489,4020,1023
490,4027,1023
491,4036,1023
492,4044,1023
493,4052,1023
494,4060,1023
495,4069,1023
496,4077,1023
497,4085,1023
498,4094,1023
499,4101,1023
500,4110,1023
501,4118,1023
502,4126,1023
503,4134,1023
504,4143,1023
505,4150,1023
506,4159,1023
507,4167,1023
508,4175,1023
509,4184,1023
510,4192,1023
511,4200,1023
512,4208,1023
513,4217,1023
514,4224,1023
515,4233,1022
516,4240,1021
517,4249,1023
518,4257,1023
519,4265,1023
520,4274,1023
521,4282,1023
522,4290,1023
523,4298,1023
524,4307,1023
525,4314,1023
526,4323,1010
527,4331,984
528,4339,967
529,4347,964
530,4356,970
531,4363,981
532,4372,999
533,4381,1016
534,4388,1023
535,4397,1023
536,4404,1023
537,4413,1023
538,4421,1002
539,4430,970
540,4437,948
541,4446,938
542,4453,943
543,4462,936
544,4470,973
545,4478,987
546,4487,1000
547,4495,1011
548,4503,1015
549,4511,1000
550,4520,975
551,4527,946
552,4536,925
553,4544,914
554,4552,923
555,4560,934
556,4569,946
557,4576,951
558,4585,969
559,4594,970
560,4601,964
561,4610,951
562,4617,934
563,4626,908
564,4634,898
565,4642,898
566,4650,899
567,4659,903
568,4666,913
569,4675,923
570,4684,925
571,4691,921
572,4700,911
573,4708,893
574,4716,877
575,4724,867
576,4733,859
577,4740,859
578,4749,867
579,4757,868
580,4765,876
581,4773,874
582,4782,875
583,4800,876
584,4806,856
585,4815,847
586,4822,835
587,4831,828
588,4838,828
589,4847,835
590,4856,843
591,4863,851
592,4872,852
593,4879,852
594,4888,849
