id,millis,sensor
0,13,861
1,23,862
2,31,861
3,40,861
4,47,861
5,52,861
6,60,861
7,68,861
8,77,861
9,84,861
10,89,861
11,96,861
12,101,861
13,109,861
14,117,861
15,122,861
16,129,861
17,134,861
18,141,861
19,146,861
20,154,861
21,162,860
22,171,861
23,178,861
24,183,861
25,191,860
26,199,861
27,204,861
28,211,861
29,216,861
30,223,861
31,228,861
32,236,861
33,244,861
34,253,861
35,260,861
36,265,861
37,272,861
38,277,861
39,285,861
40,293,861
41,302,861
42,309,860
43,314,860
44,321,861
45,326,860
46,335,861
47,342,861
48,347,861
49,354,861
50,359,861
51,367,861
52,375,861
53,384,861
54,391,861
55,396,861
56,404,861
57,412,861
58,420,861
59,428,861
60,433,861
61,440,861
62,445,861
63,452,861
64,457,861
65,465,861
66,473,861
67,478,860
68,485,861
69,490,861
70,498,861
71,506,861
72,515,861
73,522,861
74,527,861
75,535,861
76,543,861
77,552,861
78,559,861
79,564,861
80,571,861
81,576,861
82,584,861
83,592,861
84,601,860
85,608,861
86,613,861
87,620,861
88,625,861
89,633,861
90,638,861
91,645,861
92,650,861
93,657,861
94,662,861
95,671,861
96,678,860
97,683,861
98,690,861
99,699,861
100,707,861
101,715,861
102,720,861
103,727,861
104,732,861
105,739,861
106,744,861
107,752,861
108,760,861
109,769,861
110,776,860
111,781,861
112,789,861
113,797,861
114,806,861
115,813,861
116,818,861
117,825,861
118,830,861
119,838,861
120,846,861
121,855,860
122,862,860
123,867,860
124,874,860
125,879,860
126,887,861
127,892,861
128,899,861
129,904,861
130,912,861
131,920,861
132,929,861
133,936,860
134,945,860
135,952,860
136,957,861
137,964,860
138,969,861
139,978,861
140,985,862
141,994,861
142,1001,861
143,1006,861
144,1014,861
145,1022,861
146,1027,861
147,1034,860
148,1039,861
149,1047,861
150,1055,861
151,1064,862
152,1071,861
153,1076,861
154,1083,861
155,1088,860
156,1096,861
157,1104,861
158,1113,860
159,1120,861
160,1125,860
161,1133,861
162,1141,862
163,1150,861
164,1158,860
165,1166,861
166,1174,861
167,1183,861
168,1190,861
169,1195,861
170,1208,861
171,1215,861
172,1223,861
173,1231,861
174,1236,860
175,1244,860
176,1251,861
177,1256,861
178,1264,861
179,1272,861
180,1280,861
181,1289,861
182,1297,861
183,1305,860
184,1313,861
185,1322,861
186,1329,861
187,1338,861
188,1346,861
189,1354,861
190,1362,861
191,1371,861
192,1379,861
193,1387,861
194,1395,860
195,1404,862
196,1411,861
197,1420,861
198,1428,861
199,1435,861
200,1440,861
201,1448,861
202,1457,861
203,1464,862
204,1473,860
205,1481,861
206,1490,860
207,1497,861
208,1506,861
209,1514,861
210,1522,861
211,1530,861
212,1539,861
213,1547,861
214,1555,861
215,1563,861
216,1572,861
217,1579,861
218,1587,861
219,1592,861
220,1600,861
221,1608,861
222,1616,861
223,1625,861
224,1632,861
225,1641,861
226,1649,861
227,1658,861
228,1665,861
229,1674,861
230,1682,861
231,1690,861
232,1698,861
233,1707,861
234,1714,861
235,1723,861
236,1731,861
237,1739,861
238,1747,860
239,1756,861
240,1764,861
241,1772,861
242,1780,860
243,1789,861
244,1796,861
245,1804,862
246,1809,861
247,1817,861
248,1825,861
249,1834,861
250,1841,861
251,1846,861
252,1854,861
253,1862,861
254,1871,861
255,1878,861
256,1883,861
257,1890,861
258,1895,861
259,1903,861
260,1911,861
261,1920,861
262,1927,861
263,1932,861
264,1939,861
265,1944,861
266,1952,861
267,1960,861
268,1969,861
269,1976,861
270,1981,861
271,1989,861
272,1997,861
273,2006,860
274,2013,861
275,2018,861
276,2026,861
277,2034,861
278,2042,861
279,2051,861
280,2058,861
281,2063,861
282,2070,861
283,2075,861
284,2083,861
285,2091,860
286,2100,861
287,2107,861
288,2112,861
289,2119,861
290,2124,861
291,2133,861
292,2140,861
293,2149,861
294,2157,860
295,2165,861
296,2170,861
297,2177,861
298,2182,861
299,2189,861
300,2194,861
301,2202,861
302,2210,861
303,2219,861
304,2226,862
305,2236,861
306,2242,861
307,2247,861
308,2255,861
309,2260,861
310,2267,861
311,2272,861
312,2279,860
313,2284,861
314,2292,861
315,2300,861
316,2309,861
317,2316,861
318,2321,861
319,2329,861
320,2337,861
321,2346,861
322,2353,861
323,2358,861
324,2365,860
325,2370,861
326,2378,861
327,2386,861
328,2395,861
329,2402,861
330,2407,862
331,2415,861
332,2423,861
333,2432,861
334,2439,861
335,2444,861
336,2451,861
337,2456,861
338,2464,861
339,2472,861
340,2481,861
341,2488,861
342,2493,861
343,2501,861
344,2509,861
345,2518,861
346,2525,861
347,2530,861
348,2537,861
349,2542,861
350,2551,861
351,2558,861
352,2563,860
353,2570,861
354,2575,860
355,2583,861
356,2591,861
357,2600,861
358,2607,861
359,2612,861
360,2619,861
361,2624,861
362,2632,861
363,2640,861
364,2649,861
365,2656,861
366,2661,860
367,2668,860
368,2673,860
369,2681,861
370,2689,861
371,2698,861
372,2705,861
373,2710,861
374,2717,861
375,2722,861
376,2730,861
377,2735,861
378,2742,861
379,2747,861
380,2754,861
381,2759,860
382,2768,861
383,2775,861
384,2780,861
385,2787,861
386,2792,861
387,2800,861
388,2808,861
389,2817,861
390,2824,861
391,2829,861
392,2836,860
393,2841,860
394,2849,861
395,2854,861
396,2861,861
397,2866,861
398,2873,861
399,2878,861
400,2886,861
401,2894,861
402,2903,861
403,2910,861
404,2915,861
405,2922,861
406,2927,861
407,2935,861
408,2943,861
409,2952,861
410,2959,861
411,2964,861
412,2972,861
413,2980,860
414,2989,861
415,2996,861
416,3001,861
417,3008,860
418,3013,861
419,3022,861
420,3029,861
421,3034,861
422,3041,861
423,3046,862
424,3054,861
425,3062,860
426,3071,862
427,3078,861
428,3083,860
429,3090,861
430,3095,861
431,3103,861
432,3111,861
433,3120,861
434,3127,861
435,3132,861
436,3139,861
437,3144,861
438,3152,861
439,3160,861
440,3169,861
441,3176,861
442,3181,861
443,3189,861
444,3197,861
445,3206,861
446,3214,862
447,3222,861
448,3230,861
449,3239,860
450,3246,861
451,3251,861
452,3260,861
453,3267,861
454,3275,861
455,3283,861
456,3288,861
457,3295,861
458,3300,861
459,3307,861
460,3312,861
461,3320,861
462,3328,861
463,3337,861
464,3344,861
465,3349,861
466,3357,861
467,3365,861
468,3374,861
469,3381,861
470,3386,861
471,3393,861
472,3398,861
473,3406,861
474,3414,861
475,3423,861
476,3430,861
477,3435,861
478,3443,860
479,3451,861
480,3456,861
481,3463,861
482,3468,861
483,3475,861
484,3480,861
485,3488,861
486,3496,861
487,3505,860
488,3512,860
489,3517,860
490,3524,861
491,3529,861
492,3537,860
493,3545,860
494,3554,861
495,3561,860
496,3566,862
497,3574,861
498,3582,860
499,3591,861
500,3598,861
501,3603,861
502,3610,861
503,3615,861
504,3624,860
505,3631,862
506,3636,861
507,3643,861
508,3648,860
509,3656,861
510,3664,861
511,3673,861
512,3680,861
513,3685,861
514,3692,861
515,3697,861
516,3705,861
517,3713,861
518,3722,860
519,3729,861
520,3734,861
521,3742,861
522,3750,861
523,3759,861
524,3766,861
525,3771,861
526,3779,861
527,3787,861
528,3796,861
529,3803,861
530,3812,861
531,3819,862
532,3824,861
533,3833,861
534,3840,861
535,3845,861
536,3852,861
537,3861,861
538,3868,861
539,3873,861
540,3881,860
541,3886,861
542,3893,860
543,3898,861
544,3905,861
545,3910,861
546,3918,861
547,3926,860
548,3935,861
549,3942,861
550,3947,861
551,3955,861
552,3963,860
553,3972,861
554,3979,861
555,3984,861
556,3991,861
557,3996,861
558,4004,861
559,4012,860
560,4021,861
561,4028,861
562,4033,861
563,4040,860
564,4045,861
565,4053,861
566,4058,861
567,4065,861
568,4070,860
569,4078,861
570,4086,861
571,4091,861
572,4098,861
573,4103,861
574,4110,861
575,4115,861
576,4123,861
577,4131,861
578,4140,861
579,4147,861
580,4152,861
581,4159,861
582,4164,861
583,4172,861
584,4180,861
585,4189,860
586,4196,861
587,4205,861
588,4213,861
589,4221,861
590,4230,861
591,4237,861
592,4242,861
593,4249,860
594,4254,861
595,4262,861
596,4267,860
597,4274,861
598,4279,861
599,4287,860
600,4295,861
601,4303,861
602,4311,861
603,4320,861
604,4328,861
605,4335,861
606,4340,861
607,4348,861
608,4357,861
609,4364,861
610,4373,861
611,4381,861
612,4389,861
613,4397,861
614,4406,860
615,4414,861
616,4421,861
617,4426,861
618,4434,861
619,4443,861
620,4450,861
621,4459,860
622,4467,861
623,4476,860
624,4483,861
625,4492,861
626,4499,861
627,4504,861
628,4512,861
629,4520,861
630,4529,861
631,4536,861
632,4541,860
633,4549,861
634,4557,861
635,4566,861
636,4573,861
637,4578,861
638,4586,861
639,4594,861
640,4603,860
641,4610,861
642,4615,861
643,4622,860
644,4631,861
645,4638,861
646,4643,861
647,4651,861
648,4656,861
649,4663,861
650,4668,861
651,4675,861
652,4680,861
653,4688,861
654,4696,861
655,4705,861
656,4712,861
657,4717,861
658,4725,861
659,4733,861
660,4742,861
661,4749,861
662,4754,862
663,4761,861
664,4766,861
665,4774,860
666,4779,861
667,4786,861
668,4791,861
669,4798,861
670,4803,861
671,4811,861
672,4819,861
673,4828,861
674,4835,861
675,4840,861
676,4848,861
677,4856,861
678,4865,861
679,4872,861
680,4877,860
681,4884,860
682,4893,861
683,4902,861
684,4909,861
685,4918,861
686,4925,861
687,4930,861
688,4938,861
689,4946,861
690,4955,860
691,4962,860
692,4967,861
693,4974,860
694,4979,861
695,4987,860
696,4992,861
697,4999,861
698,5004,860
699,5011,861
700,5016,861
701,5024,861
702,5032,861
703,5041,861
704,5048,861
705,5053,862
706,5061,861
707,5069,861
708,5078,861
709,5085,861
710,5094,861
711,5101,861
712,5106,861
713,5114,860
714,5122,861
715,5131,861
716,5138,861
717,5143,860
718,5150,860
719,5155,861
720,5163,861
721,5168,861
722,5175,861
723,5180,861
724,5187,861
725,5192,861
726,5200,861
727,5208,860
728,5217,861
729,5224,861
730,5229,861
731,5237,861
732,5245,861
733,5254,860
734,5261,861
735,5266,861
736,5273,861
737,5278,861
738,5286,861
739,5294,860
740,5303,861
741,5310,861
742,5315,861
743,5323,861
744,5332,862
745,5339,861
746,5348,861
747,5355,861
748,5360,861
749,5368,861
750,5376,861
751,5385,860
752,5392,862
753,5401,861
754,5408,861
755,5413,860
756,5421,861
757,5426,861
758,5433,860
759,5438,861
760,5445,860
761,5450,861
762,5458,861
763,5466,861
764,5475,860
765,5482,860
766,5487,860
767,5495,861
768,5503,861
769,5512,862
770,5519,860
771,5524,861
772,5532,862
773,5540,861
774,5549,861
775,5556,861
776,5561,861
777,5568,860
778,5573,861
779,5581,861
780,5589,861
781,5598,861
782,5605,861
783,5610,861
784,5618,861
785,5626,861
786,5635,861
787,5642,861
788,5651,861
789,5658,861
790,5663,861
791,5671,861
792,5676,861
793,5683,860
794,5688,861
795,5695,861
796,5700,861
797,5708,861
798,5716,861
799,5725,860
800,5732,861
801,5737,861
802,5745,861
803,5753,861
804,5762,861
805,5769,861
806,5774,861
807,5781,861
808,5786,861
809,5794,860
810,5799,861
811,5806,861
812,5815,861
813,5822,860
814,5827,860
815,5834,861
816,5839,861
817,5847,860
818,5852,861
819,5859,861
820,5864,861
821,5871,861
822,5876,861
823,5884,860
824,5892,860
825,5901,861
826,5908,861
827,5913,861
828,5921,861
829,5929,861
830,5938,861
831,5945,861
832,5950,861
833,5957,861
834,5962,861
835,5970,861
836,5975,861
837,5982,861
838,5987,860
839,5994,861
840,5999,861
841,6007,861
842,6015,861
843,6024,861
844,6031,861
845,6036,861
846,6044,861
847,6052,861
848,6061,861
849,6068,861
850,6073,861
851,6080,861
852,6085,861
853,6093,861
854,6101,861
855,6110,862
856,6117,861
857,6122,861
858,6130,861
859,6138,861
860,6147,861
861,6154,861
862,6159,861
863,6166,861
864,6171,861
865,6179,861
866,6184,860
867,6191,861
868,6196,860
869,6203,861
870,6212,861
871,6219,861
872,6224,861
873,6233,861
874,6240,861
875,6249,861
876,6256,860
877,6261,860
878,6269,860
879,6277,861
880,6286,861
881,6293,860
882,6298,861
883,6306,861
884,6314,861
885,6323,861
886,6330,861
887,6335,861
888,6342,861
889,6347,861
890,6355,861
891,6363,860
892,6372,860
893,6380,861
894,6388,861
895,6396,861
896,6404,861
897,6412,861
898,6417,861
899,6425,861
900,6433,861
901,6441,861
902,6449,861
903,6458,861
904,6465,861
905,6470,861
906,6478,861
907,6486,861
908,6495,861
909,6502,861
910,6507,861
911,6514,861
912,6519,861
913,6527,861
914,6535,862
915,6544,861
916,6551,861
917,6556,860
918,6564,861
919,6572,861
920,6581,861
921,6588,861
922,6593,861
923,6601,861
924,6609,861
925,6618,861
926,6625,861
927,6630,861
928,6637,860
929,6642,861
930,6650,861
931,6658,861
932,6667,861
933,6674,860
934,6679,860
935,6687,860
936,6695,861
937,6704,861
938,6711,861
939,6716,861
940,6724,861
941,6732,861
942,6741,861
943,6748,861
944,6757,861
945,6764,861
946,6769,861
947,6777,861
948,6785,861
949,6794,861
950,6801,861
951,6806,861
952,6813,861
953,6818,862
954,6826,861
955,6831,861
956,6838,861
957,6843,861
958,6850,861
959,6855,861
960,6863,861
961,6871,861
962,6880,861
963,6887,860
964,6892,861
965,6900,861
966,6908,861
967,6917,861
968,6924,861
969,6933,861
970,6940,861
971,6945,860
972,6954,861
973,6961,861
974,6970,861
975,6977,861
976,6982,861
977,6990,860
978,6998,861
979,7007,861
980,7014,861
981,7019,860
982,7026,861
983,7031,861
984,7039,861
985,7044,861
986,7051,861
987,7056,861
988,7063,861
989,7068,861
990,7076,861
991,7084,860
992,7093,861
993,7100,861
994,7105,861
995,7113,861
996,7121,861
997,7130,861
998,7137,861
999,7146,861
1000,7153,861
1001,7158,861
1002,7167,861
1003,7174,861
1004,7183,861
1005,7190,861
1006,7195,861
1007,7203,861
1008,7211,861
1009,7220,861
1010,7227,861
1011,7232,861
1012,7239,861
1013,7244,861
1014,7252,861
1015,7260,861
1016,7269,861
1017,7276,861
1018,7281,861
1019,7289,861
1020,7297,861
1021,7306,861
1022,7313,861
1023,7318,861
1024,7326,861
1025,7334,862
1026,7342,861
1027,7347,860
1028,7354,861
1029,7359,860
1030,7366,861
1031,7371,860
1032,7383,861
1033,7391,861
1034,7396,862
1035,7403,861
1036,7412,861
1037,7420,862
1038,7428,861
1039,7437,861
1040,7444,861
1041,7449,861
1042,7456,861
1043,7461,861
1044,7469,860
1045,7474,861
1046,7481,861
1047,7486,861
1048,7493,861
1049,7498,861
1050,7506,861
1051,7514,860
1052,7523,861
1053,7530,860
1054,7535,860
1055,7543,860
1056,7551,861
1057,7560,861
1058,7567,861
1059,7576,860
1060,7583,861
1061,7588,861
1062,7596,861
1063,7604,861
1064,7613,861
1065,7620,860
1066,7625,861
1067,7633,861
1068,7641,861
1069,7650,861
1070,7657,861
1071,7662,861
1072,7669,861
1073,7674,860
1074,7682,860
1075,7687,861
1076,7694,861
1077,7699,861
1078,7706,861
1079,7711,861
1080,7719,861
1081,7727,861
1082,7736,861
1083,7743,861
1084,7748,861
1085,7756,860
1086,7764,861
1087,7773,861
1088,7780,861
1089,7785,861
1090,7792,860
1091,7797,861
1092,7805,860
1093,7813,861
1094,7822,861
1095,7829,860
1096,7834,861
1097,7842,861
1098,7850,861
1099,7859,860
1100,7866,861
1101,7871,861
1102,7878,861
1103,7887,861
1104,7896,861
1105,7903,861
1106,7912,861
1107,7919,860
1108,7924,861
1109,7932,861
1110,7940,860
1111,7949,861
1112,7956,861
1113,7961,861
1114,7968,860
1115,7973,861
1116,7981,861
1117,7989,861
1118,7998,861
1119,8005,861
1120,8010,861
1121,8018,861
1122,8026,861
1123,8035,861
1124,8042,861
1125,8047,861
1126,8054,861
1127,8059,860
1128,8067,861
1129,8072,861
1130,8079,861
1131,8084,861
1132,8091,861
1133,8096,861
1134,8104,861
1135,8112,861
1136,8121,861
1137,8128,861
1138,8133,861
1139,8140,860
1140,8145,861
1141,8153,861
1142,8161,861
1143,8170,860
1144,8177,861
1145,8182,860
1146,8190,861
1147,8198,861
1148,8207,861
1149,8214,861
1150,8227,861
1151,8235,861
1152,8243,861
1153,8252,861
1154,8259,860
1155,8264,861
1156,8272,861
1157,8277,861
1158,8284,861
1159,8293,860
1160,8300,862
1161,8305,861
1162,8313,860
1163,8321,861
1164,8330,861
1165,8337,860
1166,8342,861
1167,8350,860
1168,8358,861
1169,8367,861
1170,8374,861
1171,8379,861
1172,8386,861
1173,8391,861
1174,8399,862
1175,8407,861
1176,8415,861
1177,8420,861
1178,8427,861
1179,8432,861
1180,8440,860
1181,8448,860
1182,8457,861
1183,8464,861
1184,8469,861
1185,8476,861
1186,8481,861
1187,8489,861
1188,8497,861
1189,8506,861
1190,8513,861
1191,8518,861
1192,8526,860
1193,8534,860
1194,8543,860
1195,8550,861
1196,8555,861
1197,8562,861
1198,8571,861
1199,8580,860
1200,8587,861
1201,8592,861
1202,8599,861
1203,8608,861
1204,8615,861
1205,8620,861
1206,8628,861
1207,8633,861
1208,8640,861
1209,8645,861
1210,8652,861
1211,8657,861
1212,8665,861
1213,8673,861
1214,8682,861
1215,8689,861
1216,8694,861
1217,8702,861
1218,8710,861
1219,8719,861
1220,8726,861
1221,8731,860
1222,8738,861
1223,8743,861
1224,8751,861
1225,8759,862
1226,8768,861
1227,8775,861
1228,8780,861
1229,8788,860
1230,8796,861
1231,8805,861
1232,8812,861
1233,8817,861
1234,8825,861
1235,8833,861
1236,8842,860
1237,8849,860
1238,8854,861
1239,8861,861
1240,8866,861
1241,8874,861
1242,8882,862
1243,8891,861
1244,8898,861
1245,8903,861
1246,8911,861
1247,8919,861
1248,8928,861
1249,8935,860
1250,8940,861
1251,8947,861
1252,8952,861
1253,8960,860
1254,8965,861
1255,8972,861
1256,8977,861
1257,8984,860
1258,8989,860
1259,8997,861
1260,9005,861
1261,9014,860
1262,9021,860
1263,9026,861
1264,9034,861
1265,9042,861
1266,9051,861
1267,9058,860
1268,9063,861
1269,9070,861
1270,9075,861
1271,9083,860
1272,9091,861
1273,9100,861
1274,9107,861
1275,9112,861
1276,9120,861
1277,9128,861
1278,9137,861
1279,9144,860
1280,9149,861
1281,9156,861
1282,9165,861
1283,9174,861
1284,9181,861
1285,9190,861
1286,9197,861
1287,9202,861
1288,9209,861
1289,9214,861
1290,9222,861
1291,9227,861
1292,9234,861
1293,9239,861
1294,9246,861
1295,9251,861
1296,9259,861
1297,9267,861
1298,9276,861
1299,9283,861
1300,9288,861
1301,9296,861
1302,9304,861
1303,9313,860
1304,9320,860
1305,9325,861
1306,9333,860
1307,9341,861
1308,9350,861
1309,9357,860
1310,9362,860
1311,9369,861
1312,9374,861
1313,9382,861
1314,9390,860
1315,9399,861
1316,9406,861
1317,9411,861
1318,9419,861
1319,9427,861
1320,9435,861
1321,9440,861
1322,9447,861
1323,9452,860
1324,9459,861
1325,9464,860
1326,9472,861
1327,9477,861
1328,9484,861
1329,9489,861
1330,9496,861
1331,9505,860
1332,9512,860
1333,9517,861
1334,9526,861
1335,9533,861
1336,9538,861
1337,9545,861
1338,9554,861
1339,9563,860
1340,9570,861
1341,9575,861
1342,9582,862
1343,9591,861
1344,9599,861
1345,9607,861
1346,9616,861
1347,9623,861
1348,9628,861
1349,9636,861
1350,9644,861
1351,9653,861
1352,9660,861
1353,9665,861
1354,9673,861
1355,9681,861
1356,9690,861
1357,9697,861
1358,9702,861
1359,9709,861
1360,9714,861
1361,9722,861
1362,9730,861
1363,9739,861
1364,9746,861
1365,9751,861
1366,9758,861
1367,9763,861
1368,9771,860
1369,9776,860
1370,9783,860
1371,9792,861
1372,9799,861
1373,9804,861
1374,9811,861
1375,9816,862
1376,9824,861
1377,9829,861
1378,9836,861
1379,9841,861
1380,9848,861
1381,9853,861
1382,9861,861
1383,9869,861
1384,9878,861
1385,9885,861
1386,9890,861
1387,9897,860
1388,9902,860
1389,9910,861
1390,9915,861
1391,9922,861
1392,9927,861
1393,9934,861
1394,9939,861
1395,9947,861
1396,9955,861
1397,9964,861
1398,9971,861
1399,9976,862
1400,9984,861
1401,9992,860
1402,10001,861
